company_name_normalized;nb_occ
UNION SYNDICALE SOLIDAIRES;8
SAMSON;8
SA ORANGE;8
COMMUNAUTE D'AGGLOMERATION METZ AGGLOMERATION;8
ONIAM;8
JOSEPH;8
COMMISSION DE REGULATION DE L'ENERGIE;8
SOCIETE IDEX ENERGIES;8
AHMAD;8
FRANCE NATURE ENVIRONNEMENT;8
COMMUNE D'AIX EN PROVENCE;8
COMMUNE DE MERINDOL;8
SOCIETE BATIPRO LOGEMENTS INTERMEDIAIRES;8
MEHMETI;8
CHERIF;8
COMMUNE DE SAINT TROPEZ;8
FEDERATION DES EMPLOYES ET CADRES DE LA CGT FORCE OUVRIERE;8
WETTER;8
ME DAVID, LIQUIDATEUR DE LA SOCIETE BOGARD CONSTRUCTIONS;8
LAURENT;8
PREFECTURE DE L'AISNE;8
PREFECTURE DU LOT;8
CHARLES;8
BAHI;8
COMMUNE DE MARTIGUES;8
BONNET;8
SOCIETE COFINFO;8
COMMUNE DE RUEIL MALMAISON;8
POLYNESIE FRANCAISE;8
SAS PRINTEMPS;8
ETABLISSEMENT NATIONAL DES PRODUITS DE L'AGRICULTURE ET DE LA MER;8
CHEIKH;8
DIAKHABY;8
CONTE;8
MINISTRE DU BUDGET, DES COMPTES PUBLICS ET DE LA REFORME DE L'ETAT;8
PREFET DES BOUCHES DU RHONE;8
GAUTIER;8
BENHAMOU;8
DEPARTEMENT DE LA GIRONDE;8
MINISTERE DU LOGEMENT, DE L'EGALITE DES TERRITOIRES ET DE LA RURALITE;8
AGGLOMERATION D'AGEN;8
KABA;8
CONFEDERATION GENERALE DU TRAVAIL;8
CLEMENT;8
CMP (EX VAL D'AUCY) REPRESENTEE PAR SON LIQUIDATEUR M. PIERRE SIFFLET;8
CAISSE PRIMAIRE D'ASSURANCE MALADIE DE LA HAUTE GARONNE;8
PREFECTURE D'EURE ET LOIR;8
CAISSE PRIMAIRE D'ASSURANCE MALADIE DE LA GIRONDE;8
DEPARTEMENT DE SEINE MARITIME;8
SIDIBE;8
BRUNEL;8
MINISTERE DES AFFAIRES SOCIALES, DE LA SANTE ET DES DROITS DES FEMMES;8
MINISTERE DES FINANCES ET DES COMPTES PUBLICS DIRECTION DES GRANDES ENTREPRISES;8
AMARA;8
SAS BELAMBRA CLUBS;8
DEPARTEMENT DE LA HAUTE GARONNE;8
PI;8
BRAHOLLI;8
LEROY;8
COMMUNE DU PRADET;8
GROUPE HOSPITALIER DE LA ROCHELLE RE AUNIS;8
SOCIETE JPM SAS;8
UNION DEPARTEMENTALE DU SYNDICAT CFTC DU VAL D'OISE;8
MOUSSA;8
COMMUNE DE MONTREUIL;8
LI;8
GASSAMA;7
CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;7
PUIG;7
MUSO;7
BELABED;7
BALDE;7
MOREAU;7
NIKOGHOSYAN;7
KARAPETYAN;7
MEUNIER;7
CENTRE HOSPITALIER LE MAS CAREIRON;7
COMMUNE DE GARGES LES GONESSE;7
ROUSSEAU;7
COMMUNE DES CLAYES SOUS BOIS;7
CORDELLIER;7
DEPARTEMENT DE SEINE ET MARNE;7
COMMUNE DE CHENS SUR LEMAN;7
