known_companies;known_companies_len
ASCENA;6
UNITED RENTALS;14
CASEY'S;7
GRAYBAR ELECTRIC;16
AVERY DENNISON;14
MASTEC;6
CMS ENERGY;10
HD SUPPLY;9
RAYMOND JAMES FINANCIAL;23
NCR;3
HANESBRANDS;11
ASBURY AUTOMOTIVE;17
CITIZENS FINANCIAL;18
ALLEGHANY;9
APACHE;6
DILLARD'S;9
ASSURANT;8
MOTOROLA SOLUTIONS;18
NVR;3
ROCKWELL AUTOMATION;19
TREEHOUSE FOODS;15
WYNN RESORTS;12
OLIN;4
AMERICAN AXLE & MANUFACTURING;29
OLD REPUBLIC;12
CHEMOURS;8
IHEARTMEDIA;11
AMEREN;6
GALLAGHER;9
CELANESE;8
SEALED AIR;10
UGI;3
REALOGY;7
BURLINGTON;10
AK STEEL;8
SECURIAN;8
S&P;3
MARKEL;6
TRAVELCENTERS;13
CONDUENT;8
M&T;3
CLOROX;6
AMTRUST;7
KKR;3
ULTA BEAUTY;11
YUM;3
REGENERON;9
WINDSTREAM;10
MAGELLAN;8
INTERCONTINENTAL;16
INGREDION;9
WYNDHAM;7
TOLL BROTHERS;13
SEABOARD;8
BOOZ;4
HAMILTON;8
AVON PRODUCTS;13
NORTHERN TRUST;14
FISERV;6
HARLEY DAVIDSON;15
CHENIERE ENERGY;15
PATTERSON;9
PEABODY ENERGY;14
SIMON PROPERTY;14
WESTERN UNION;13
NETAPP;6
POLARIS;7
PIONEER;7
ABM;3
VISTRA ENERGY;13
CINTAS;6
HESS;4
KELLY SERVICES;14
GENESIS;7
ADVANCED MICRO DEVICES;22
ZOETIS;6
WILLIAMS SONOMA;15
BIG LOTS;8
ROBERT HALF;11
HASBRO;6
HANOVER;7
NAVIENT;7
INTUIT;6
DOMTAR;6
MARATHON OIL;12
CERNER;6
ANALOG DEVICES;14
ESSENDANT;9
SONOCO PRODUCTS;15
JUNIPER NETWORKS;16
COMMERCIAL METALS;17
CSRA;4
UNDER ARMOUR;12
RPM INTERNATIONAL;17
TOTAL SYSTEM SERVICES;21
LEVI STRAUSS;12
BRUNSWICK;9
YRC WORLDWIDE;13
MATTEL;6
FM GLOBAL;9
NISOURCE;8
CAESARS ENTERTAINMENT;21
ELECTRONIC ARTS;15
DYNEGY;6
MCCORMICK;9
ORBITAL ATK;11
TUTOR PERINI;12
BROOKDALE SENIOR LIVING;23
HUNTINGTON BANCSHARES;21
WAYFAIR;7
RUSH ENTERPRISES;16
XYLEM;5
NEIMAN MARCUS GROUP;19
HYATT;5
SPROUTS FARMERS MARKET;22
DIEBOLD NIXDORF;15
ROPER TECHNOLOGIES;18
TAPESTRY;8
DIPLOMAT PHARMACY;17
CHIPOTLE;8
AGILENT;7
SCIENCE APPLICATIONS INTERNATIONAL;34
MDU RESOURCES GROUP;19
SELECT MEDICAL HOLDINGS;23
BOISE CASCADE;13
SCANA;5
FASTENAL;8
SCHNEIDER;9
BEACON ROOFING SUPPLY;21
KB HOME;7
EQUINIX;7
